词形,词性,褒贬色彩,感情特点,近义词,
拾金不昧,成语,褒义,赞扬,,
拾人牙慧,成语,贬义,批评,拾人涕唾,
食古不化,成语,贬义,批评,,
世故,形容词,贬义,批评,圆滑,
世态炎凉,成语,贬义,贬责,,
事半功倍,成语,褒义,赞扬,,
事端,名词,贬义,贬责,纠纷/事故,
事故,名词,贬义,批评,事端,
事迹,名词,褒义,赞扬,业绩,
势利,形容词,贬义,憎恶,,
势如破竹,成语,褒义,赞扬,锐不可当/势不可挡,
视而不见,成语,贬义,批评,视若无睹,
视死如归,成语,褒义,赞扬,,
恃才傲物,成语,贬义,批评,,
恃强凌弱,成语,贬义,贬责,,
嗜杀成性,成语,贬义,憎恶,,
收买,动词,贬义,贬责,贿赂/拉拢/笼络,
手段,名词,贬义,贬责,权术/手腕,
守株待兔,成语,贬义,批评,,
首屈一指,成语,褒义,赞扬,,
熟视无睹,成语,贬义,批评,视若无睹/视而不见,
鼠目寸光,成语,贬义,批评,目光短浅/目光如豆,
束缚,动词,贬义,批评,,
束手待毙,成语,贬义,批评,束手就擒,
束手无策,成语,贬义,批评,,
束之高阁,成语,贬义,批评,,
耍花腔,惯用语,贬义,批评,,
耍花招,惯用语,贬义,贬责,耍花枪/耍花样,
耍滑头,惯用语,贬义,批评,耍滑/耍奸,
耍赖,动词,贬义,批评,耍无赖/耍赖皮,
耍流氓,惯用语,贬义,贬责,,
